rpm,power_hp,torque_lbft
3600,0.873,1.220
3700,2.404,3.221
3800,3.858,5.122
3900,5.236,6.924
4000,8.452,11.126
4100,15.077,19.336
4200,17.077,21.375
4300,18.772,23.112
4400,20.468,24.850
4500,21.946,26.113
4600,23.206,26.980
4700,24.414,27.811
4800,25.057,28.129
4900,25.327,27.881
5000,25.622,27.609
5100,25.758,27.164
5200,25.144,25.806
5300,24.530,24.447
5400,24.128,23.537
5500,23.848,22.847
5600,23.556,22.131
5700,23.467,21.675
5800,23.384,21.211
5900,23.456,20.971
6000,23.593,20.719
6100,24.052,20.753
6200,24.602,20.886
6300,25.692,21.444
6400,26.642,21.956
6500,28.761,23.276
6600,30.951,24.665
6700,33.504,26.270
6800,35.955,27.808
6900,37.978,29.059
7000,40.491,30.536
7100,42.937,31.972
7200,44.936,33.019
7300,46.314,33.605
7400,47.521,34.117
7500,48.686,34.504
7600,49.559,34.676
7700,50.511,34.864
7800,50.844,34.648
7900,51.074,34.438
8000,51.334,34.088
8100,51.499,33.587
8200,51.673,33.087
8300,51.927,32.843
8400,52.127,32.651
8500,52.584,32.541
8600,53.129,32.486
8700,53.688,32.433
8800,54.231,32.385
8900,54.671,32.351
9000,55.211,32.322
9100,55.744,32.287
9200,56.268,32.230
9300,56.875,32.216
9400,57.517,32.287
9500,58.376,32.406
9600,59.489,32.669
9700,60.598,32.937
9800,61.965,33.330
9900,63.033,33.637
10000,64.373,34.010
10100,65.701,34.373
10200,66.723,34.561
10300,67.527,34.629
10400,67.996,34.551
10500,68.324,34.400
10600,68.390,34.099
10700,68.370,33.779
10800,68.283,33.426
10900,68.189,33.049
11000,68.060,32.540
11100,68.035,32.211
11200,68.018,31.920
11300,67.973,31.618
11400,67.867,31.314
11500,67.719,30.978
11600,67.549,30.639
11700,67.303,30.274
11800,66.956,29.858
11900,66.495,29.404
12000,65.916,28.929
12100,65.348,28.440
12200,64.880,28.000
12300,64.478,27.592
12400,64.186,27.250
12500,63.929,26.938
12600,63.743,26.649
12700,63.625,26.445
12800,63.452,26.236
12900,63.005,25.845
